0,0
10,0
50,0
90,0
130,0
170,0
210,0
250,0
290,0
330,0
370,0
435,0.012290503
455,0.031284916
475,0.062569832
495,0.084916201
505,0.10502793
515,0.13072626
525,0.1575419
540,0.18994413
565,0.24469274
575,0.28044693
595,0.32290503
605,0.35307263
625,0.40446927
650,0.46480447
665,0.50726257
675,0.52513966
700,0.58659218
710,0.60782123
730,0.6547486
740,0.66703911
760,0.69497207
780,0.74189944
800,0.76089386
825,0.78994413
840,0.82122905
860,0.84581006
890,0.86927374
900,0.88044693
910,0.8849162
960,0.91061453
1000,0.92513967
1035,0.94189944
1095,0.95418994
1135,0.96201117
1150,0.96424581
1235,0.97877095
1295,0.98547486
1325,0.98659218
1385,0.98547486
1425,0.98994413
1465,0.99106145
1475,0.98994413
1515,0.99329609
1555,0.99329609
1590,0.99217877
1625,0.98547486
1635,0.99217877
1655,0.99366853
1725,0.99217877
1775,0.99217877
1805,0.99664805
1855,0.99664805
1880,0.99553073
1915,0.99553073
1945,0.98994413
1965,0.99553073
1985,0.99553073
2005,0.98994413
2025,0.99441341
2065,1
2105,1
